COUNTRY,Coverage,Accessibility,Sustainability
Germany,89.33,93.07,92.77
Netherlands,91.04,76.50,92.77
Switzerland,92.99,68.42,94.79
France,84.44,70.09,93.02
Sweden,65.66,77.02,99.62
Norway,38.12,100.00,98.72
Spain,84.08,42.39,95.50
Austria,79.23,47.11,92.25
Singapore,100.00,29.91,84.51
United Kingdom,83.93,34.21,94.59
Czech Republic,66.87,51.00,88.03
United States,85.26,20.78,98.19
Japan,90.26,19.73,93.15
Portugal,66.36,29.49,97.30
Poland,57.65,50.47,82.40
Ireland,51.03,37.15,97.25
Denmark,70.60,15.84,95.11
Canada,57.79,21.09,99.34
Belgium,74.54,10.28,91.77
Finland,58.59,17.94,100.00
Hungary,62.62,23.29,88.20
Italy,68.95,13.33,87.24
Romania,34.68,40.50,89.75
Malaysia,57.76,17.31,88.08
North Korea,87.32,5.88,69.36
Luxembourg,66.27,0.00,94.72
United Arab Emirates,82.35,16.26,58.91
Greece,44.09,25.08,87.86
Australia,48.24,9.02,96.85
Israel,59.91,12.17,81.81
Bulgaria,32.56,32.95,84.43
Ecuador,37.14,22.77,89.42
Chile,39.18,26.97,82.22
Azerbaijan,49.13,14.69,83.51
New Zealand,42.27,4.72,99.89
Russia,39.68,16.79,87.93
Panama,40.71,9.55,93.51
Mexico,45.51,10.91,82.35
Dominican Republic,38.81,7.03,90.78
Croatia,49.16,0.00,85.89
Ukraine,35.57,14.90,83.07
Georgia,25.76,25.29,80.86
South Africa,46.34,3.67,77.45
Brazil,23.16,12.17,91.98
Indonesia,32.10,6.40,87.53
Argentina,28.16,6.40,91.27
Thailand,41.59,7.56,76.10
Turkey,53.19,10.81,54.94
China,62.06,11.65,45.15
Kazakhstan,25.66,2.52,90.67
Colombia,17.06,10.60,87.50
Morocco,40.34,4.72,68.67
Armenia,23.72,12.38,68.75
Vietnam,29.94,1.47,72.15
Tunisia,16.34,21.41,62.74
Iran,26.80,9.65,61.19
Guatemala,4.82,12.80,78.66
Peru,12.69,4.09,77.82
Philippines,5.89,2.73,85.69
Algeria,15.33,15.32,61.30
Tanzania,6.62,2.94,72.79
Ethiopia,6.63,9.13,61.19
Pakistan,29.62,1.47,38.56
India,54.74,4.09,0.37
Saudi Arabia,49.34,0.00,3.80
Qatar,49.47,0.00,0.00
Egypt,38.60,2.62,4.91
Nigeria,0.00,0.00,22.72