Entity,Code,Year,Urban,Rural
World,OWID_WRL,1950,750902976,1785372032
World,OWID_WRL,1951,775068032,1808749056
World,OWID_WRL,1952,799283008,1831302016
World,OWID_WRL,1953,824289984,1852940032
World,OWID_WRL,1954,850179008,1874123008
World,OWID_WRL,1955,877009024,1895234048
World,OWID_WRL,1956,904684992,1916697984
World,OWID_WRL,1957,933113024,1938839040
World,OWID_WRL,1958,962537024,1961543936
World,OWID_WRL,1959,992820992,1985004032
World,OWID_WRL,1960,1023846016,2009367040
World,OWID_WRL,1961,1055436032,2034870016
World,OWID_WRL,1962,1088376960,2060867968
World,OWID_WRL,1963,1122562048,2087709056
World,OWID_WRL,1964,1157812992,2115857024
World,OWID_WRL,1965,1188468992,2151122944
World,OWID_WRL,1966,1219992960,2188128000
World,OWID_WRL,1967,1252567040,2226487040
World,OWID_WRL,1968,1285933056,2265946880
World,OWID_WRL,1969,1319832960,2306072064
World,OWID_WRL,1970,1354215040,2346362112
World,OWID_WRL,1971,1388834048,2386957056
World,OWID_WRL,1972,1424734976,2426810112
World,OWID_WRL,1973,1462178048,2465359872
World,OWID_WRL,1974,1501134976,2502312960
World,OWID_WRL,1975,1538625024,2540462080
World,OWID_WRL,1976,1577376000,2576911104
World,OWID_WRL,1977,1616418944,2612782080
World,OWID_WRL,1978,1659305984,2645071104
World,OWID_WRL,1979,1706022016,2674564096
World,OWID_WRL,1980,1754200960,2704210944
World,OWID_WRL,1981,1804215040,2733630976
World,OWID_WRL,1982,1854134016,2764642048
World,OWID_WRL,1983,1903821952,2797708032
World,OWID_WRL,1984,1955106048,2831376896
World,OWID_WRL,1985,2007938944,2865842944
World,OWID_WRL,1986,2062604032,2901029120
World,OWID_WRL,1987,2118882944,2936753920
World,OWID_WRL,1988,2176126976,2972430080
World,OWID_WRL,1989,2233140992,3007595008
World,OWID_WRL,1990,2290227968,3040715008
World,OWID_WRL,1991,2347461888,3071296000
World,OWID_WRL,1992,2404336896,3100064000
World,OWID_WRL,1993,2461223936,3126871040
World,OWID_WRL,1994,2518254080,3152066048
World,OWID_WRL,1995,2575504896,3175969024
World,OWID_WRL,1996,2632942080,3198622976
World,OWID_WRL,1997,2690813952,3219752960
World,OWID_WRL,1998,2749213952,3239632896
World,OWID_WRL,1999,2808231936,3258636032
World,OWID_WRL,2000,2868307968,3276698880
World,OWID_WRL,2001,2933079040,3290333952
World,OWID_WRL,2002,3001807872,3300340992
World,OWID_WRL,2003,3071744000,3309665024
World,OWID_WRL,2004,3143045120,3318326016
World,OWID_WRL,2005,3215906048,3326254080
World,OWID_WRL,2006,3289445888,3334402048
World,OWID_WRL,2007,3363610112,3342809088
World,OWID_WRL,2008,3439718912,3350052096
World,OWID_WRL,2009,3516829952,3356911104
World,OWID_WRL,2010,3594867968,3363301120
World,OWID_WRL,2011,3671424000,3371585024
World,OWID_WRL,2012,3747843072,3380334080
World,OWID_WRL,2013,3824989952,3388435968
World,OWID_WRL,2014,3902832128,3395621120
World,OWID_WRL,2015,3981498112,3401510912
World,OWID_WRL,2016,4060653056,3406311936